record_type,ledger_index,regime,interval_s,tx_count,send_spacing_s,policy,t95_propagation_s,num_sends,estimated_bandwidth_bps,reachability,network_load_index,queueing_load_scale_s,queueing_fanout_exponent
workload,100094.0,NORMAL,2.84710186181917,7.0,0.4067288374027386,,,,,,,,
workload,100095.0,NORMAL,2.8048187665424424,6.0,0.4674697944237404,,,,,,,,
workload,100096.0,NORMAL,2.8053544847579075,11.0,0.2550322258870825,,,,,,,,
workload,100097.0,NORMAL,3.0382831961561747,11.0,0.276207563286925,,,,,,,,
workload,100098.0,STRESSED,2.901203162750384,23.0,0.12613926794566888,,,,,,,,
workload,100099.0,STRESSED,2.9963928639733353,19.0,0.15770488757754397,,,,,,,,
workload,100100.0,STRESSED,3.2461226462142627,39.0,0.08323391400549392,,,,,,,,
workload,100101.0,STRESSED,3.026379293598121,22.0,0.13756269516355094,,,,,,,,
workload,100102.0,STRESSED,2.953690411185393,9.0,0.3281878234650437,,,,,,,,
workload,100103.0,STRESSED,4.309935929886316,10.0,0.4309935929886316,,,,,,,,
workload,100104.0,STRESSED,2.9768493015375976,20.0,0.14884246507687987,,,,,,,,
workload,100105.0,STRESSED,2.9736729997282,36.0,0.08260202777022778,,,,,,,,
workload,100106.0,BURST,2.9935570258162763,85.0,0.03521831795077972,,,,,,,,
workload,100107.0,STRESSED,4.32282107051687,24.0,0.1801175446048696,,,,,,,,
workload,100108.0,BURST,1.9950833108471817,46.0,0.04337137632276482,,,,,,,,
workload,100109.0,NORMAL,3.061025749816101,6.0,0.5101709583026836,,,,,,,,
workload,100110.0,NORMAL,2.656798623828385,14.0,0.18977133027345608,,,,,,,,
workload,100111.0,NORMAL,3.382034795687228,12.0,0.2818362329739357,,,,,,,,
workload,100112.0,STRESSED,3.120360153202942,12.0,0.26003001276691184,,,,,,,,
workload,100113.0,BURST,2.864075718163988,63.0,0.04546151933593632,,,,,,,,
workload,100114.0,BURST,1.728504401341119,46.0,0.03757618263785041,,,,,,,,
workload,100115.0,STRESSED,2.798811184528163,23.0,0.12168744280557231,,,,,,,,
workload,100116.0,STRESSED,3.52393077848873,7.0,0.5034186826412471,,,,,,,,
workload,100117.0,STRESSED,3.1994088014223507,24.0,0.13330870005926462,,,,,,,,
workload,100118.0,STRESSED,2.1784576146444694,15.0,0.14523050764296463,,,,,,,,
workload,100119.0,NORMAL,2.2483771112240576,15.0,0.14989180741493718,,,,,,,,
workload,100120.0,NORMAL,3.0089466829581535,7.0,0.42984952613687905,,,,,,,,
workload,100121.0,NORMAL,3.0901405852479,10.0,0.30901405852478997,,,,,,,,
workload,100122.0,NORMAL,2.8079121181363274,7.0,0.40113030259090393,,,,,,,,
workload,100123.0,NORMAL,2.6689824532064867,10.0,0.26689824532064865,,,,,,,,
workload,100124.0,STRESSED,2.6102956877512478,19.0,0.13738398356585516,,,,,,,,
workload,100125.0,STRESSED,2.762549869016874,14.0,0.19732499064406242,,,,,,,,
workload,100126.0,STRESSED,3.676603390638275,20.0,0.18383016953191375,,,,,,,,
workload,100127.0,BURST,2.5127023225050906,71.0,0.03539017355640973,,,,,,,,
workload,100128.0,NORMAL,3.5941889907153755,8.0,0.44927362383942193,,,,,,,,
workload,100129.0,NORMAL,3.2953438690758876,8.0,0.41191798363448595,,,,,,,,
workload,100130.0,NORMAL,3.1808424471149865,5.0,0.6361684894229973,,,,,,,,
workload,100131.0,NORMAL,2.2430726564499333,7.0,0.32043895092141905,,,,,,,,
workload,100132.0,NORMAL,2.8947609700443757,10.0,0.28947609700443755,,,,,,,,
workload,100133.0,NORMAL,2.060168112752652,9.0,0.228907568083628,,,,,,,,
workload,100134.0,NORMAL,2.8723378860325917,12.0,0.23936149050271596,,,,,,,,
workload,100135.0,BURST,1.8543328989693424,48.0,0.03863193539519463,,,,,,,,
workload,100136.0,NORMAL,2.7940869060925118,11.0,0.2540079005538647,,,,,,,,
workload,100137.0,NORMAL,2.660320569389129,10.0,0.2660320569389129,,,,,,,,
workload,100138.0,NORMAL,2.592832893734352,11.0,0.23571208124857745,,,,,,,,
workload,100139.0,NORMAL,2.6802094378494576,12.0,0.2233507864874548,,,,,,,,
workload,100140.0,NORMAL,2.326635704813847,5.0,0.4653271409627694,,,,,,,,
workload,100141.0,NORMAL,2.5058005571698625,12.0,0.20881671309748853,,,,,,,,
workload,100142.0,STRESSED,3.272657070507915,33.0,0.09917142637902773,,,,,,,,
workload,100143.0,BURST,2.0879284726809466,94.0,0.02221200502852071,,,,,,,,
workload,100144.0,STRESSED,2.7162936426722437,15.0,0.18108624284481625,,,,,,,,
workload,100145.0,STRESSED,2.6916002529994207,17.0,0.15832942664702476,,,,,,,,
workload,100146.0,STRESSED,4.304833966800264,11.0,0.39134854243638767,,,,,,,,
workload,100147.0,NORMAL,2.399198509733625,11.0,0.21810895543032952,,,,,,,,
workload,100148.0,STRESSED,2.271492152276632,31.0,0.07327394039602039,,,,,,,,
workload,100149.0,NORMAL,2.5495884943802203,6.0,0.42493141573003673,,,,,,,,
workload,100150.0,NORMAL,2.8615025467829764,8.0,0.35768781834787206,,,,,,,,
workload,100151.0,NORMAL,2.838939657641292,14.0,0.20278140411723514,,,,,,,,
workload,100152.0,NORMAL,2.276813919544089,13.0,0.17513953227262224,,,,,,,,
